Name;DateOfBirth;Email;Gender;Status;Course
John Higgins;1995.04.17;johnhiggins@gmail.com;male;active;Software Developer
Jane Foster;1999.12.10.;janefoster@gmail.com;female;active;Accountant
Sharon Hodges;2001.10.10.;sharonhodges@gmail.com;female;passive;Data Scientist
James Hall;2001.06.12.;jameshall@gmail.com;male;active;Software Developer
Edwin Cooper;1995.03.15.;edwincooper@gmail.com;male;active;Data Scientist
Basil Malcom;2002.08.24.;basilmalcom@gmail.com;male;active;Business
Ollie Elliott;2000.12. 30.;ollieelliott@gmail.com;male;passive;Health & Care
Clara Fleming;2002.06.09.;clarafleming@gmail.com;female;active;Software Developer
Duncan Marshman;1995.09.18.;duncanmarshman@gmail.com;male;active;Health & Care
Ulric Males;2002.12.19.;ulricmales@gmail.com;male;active;Software Developer
Herman Carlson;1998.03.15.;hermancarlson@gmail.com;male;active;Accountant
Rebecca Hardy;1999.06.11.;rebeccahardy@gmail.com;female;active;Health & Care
Tom Savage;2002.05.22.;tomsavage@gmail.com;male;passive;Business
Thea Ramos;1996.01.12.;thearamos@gmail.com;female;active;Software Developer
Kate Ward;2000.01.14.;kateward@gmail.com;female;active;Business
Addison Ballard;2001.08.07.;addisonballard@gmail.com;female;passive;Software Developer
Laurence Oliver;1997.10.12.;laurenceoliver@gmail.com;male;active;Health & Care
Benedict Waters;1995.01.17.;benedictwaters@gmail.com;male;passive;Health & Care
Priscilla Tucker;2002.11.25.;priscillatucker@gmail.com;female;active;Accountant
Sydney Rice;1998.08.13.;sydneyrice@gmail.com;female;active;Health & Care
Stephen Titterington;1998.03.26.;stephentitterington@gmail.com;male;active;Software Developer
Bond Lindsey;1995.02.17.;bondlindsey@gmail.com;male;active;Accountant
Rowena Preston;1996.12.24.;rowenapreston@gmail.com;female;passive;Software Developer
Ed Morrison;1995.02.21.;edmorrison@gmail.com;male;active;Health & Care
Thora Davidson;1996.01.27.;thoradavidson@gmail.com;female;active;Business
Tina Perry;2002.10.03.;tinaperry@gmail.com;female;passive;Software Developer
Paul Conner;2000.12.27.;paulconner@gmail.com;male;active;Health & Care
Kevin Burgess;1999.07.16.;kevinburgess@gmail.com;male;active;Software Developer
